benua,negara,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Eropa,Moldova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1479.5,2779.1
Eropa,Monaco,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,35.8,1.9,0,170.6
Eropa,Norwegia,6639.1,0,7770.2,14680.2,106.1,1827.3,15655.8,5584,17202.4,17000,7017.1,20326.2,4651.4,18529.8,77073.2
Eropa,Perancis,3335.5,134265,158703.5,101975.2,200229.9,131570.9,109017.3,249570.8,49631.1,167354.3,25111.7,145763.8,252867.9,302819.9,180146.4
Eropa,Polandia,1500,NA,NA,100,4350,18622.5,1604.5,19726.1,200,667,1091.5,993,2556.6,2916.1,4203.6
Eropa,Portugal,NA,NA,NA,300,400,504,869.4,400,1188.5,82,251.4,1653.4,1733.6,2139,2906.2
Eropa,Rumania,NA,NA,NA,NA,NA,NA,428.9,293.1,1577.8,0,0,57.4,946.9,4441.5,4395.9
Eropa,Rusia,200,1517.5,350,1570,3568.8,1008.4,5493.9,7406.3,2177.7,18411.6,4603.7,23207.8,30567.8,114071.4,97423
Eropa,Serbia,NA,NA,NA,NA,NA,NA,NA,0,0,87.4,156.6,367,181.7,1684.8,1344.7
Eropa,Siprus,NA,NA,444.4,0,7572.2,0,1339.8,6601.2,5574,5382.9,426.4,254,1407.3,14085.3,8335.1
Eropa,Skotlandia,100,0,18.3,0,5.1,17.2,159.1,79.6,0,0,0,0,0,19.3,10.7
Eropa,Slovakia,12.3,162.9,11.1,0,0,0,276.6,139,178.7,2.3,30.6,687.9,1301.8,2938.8,4617.3
Eropa,Slovenia,NA,NA,0,152.5,0,0,301.4,450,20,942.4,198.5,55.9,3713.1,2463.9,1638
Eropa,Spanyol,39238.2,1085,3148.6,2891.5,15693.6,56587.1,50089.4,7800.6,10521.1,6833.3,7584.4,6776.5,17290.5,24479.2,25718.4
Eropa,Swedia,877.1,916.1,5212.2,650.2,1730,309.6,4468.7,17896.8,16830.6,26289.8,5004.9,9221.9,59379.2,50413.3,66597.6
Eropa,Swiss,129558.1,9431.6,255141.8,124605.7,150831.3,61844.9,346703.5,615458.2,243283.4,150701.9,130891,599771.5,133772.5,150065.8,55552.5
Eropa,Turki,5165.7,10850.9,7255.6,11690.9,64118,3884.9,2690.1,1550.6,4656,24816.8,601.5,825,4697,11817.7,5061.3
Eropa,Ukraina,NA,NA,0.1,NA,NA,0,1022.1,693.6,945,556.3,2230.5,1602.7,1223.3,8999.2,15163.1
Eropa,Vatikan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.7
Eropa,Yugoslavia,NA,NA,NA,NA,NA,NA,600,NA,0,0,NA,NA,NA,NA,NA
Eropa,Yunani,0,NA,NA,NA,NA,NA,43.4,610,728.1,734.9,215.2,1324.7,157.3,678.4,154.7
Joint,Gabungan Negara,3830434.8,5825957.4,6811768.2,7467375,7619392.2,9734007.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
