Adjusted for Inflation Title,Format,Metric,Year,Value (Actual),Adjusted for Inflation Flag,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Zero
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1979,2436.8," (adjusted for inflation, 2023 dollars)",$2.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1980,2607," (adjusted for inflation, 2023 dollars)",$2.6B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1981,3562.6," (adjusted for inflation, 2023 dollars)",$3.6B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1982,4371.6," (adjusted for inflation, 2023 dollars)",$4.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1983,5540," (adjusted for inflation, 2023 dollars)",$5.5B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1984,6991.1," (adjusted for inflation, 2023 dollars)",$7.0B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1985,6828.9," (adjusted for inflation, 2023 dollars)",$6.8B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1986,6948.9," (adjusted for inflation, 2023 dollars)",$6.9B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1987,7938.6," (adjusted for inflation, 2023 dollars)",$7.9B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1988,8718.9," (adjusted for inflation, 2023 dollars)",$8.7B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1989,8221.5," (adjusted for inflation, 2023 dollars)",$8.2B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1990,8095.2," (adjusted for inflation, 2023 dollars)",$8.1B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1991,6755.3," (adjusted for inflation, 2023 dollars)",$6.8B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1992,6767.9," (adjusted for inflation, 2023 dollars)",$6.8B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1993,6148.4," (adjusted for inflation, 2023 dollars)",$6.1B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1994,6119.5," (adjusted for inflation, 2023 dollars)",$6.1B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1995,4605.7," (adjusted for inflation, 2023 dollars)",$4.6B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1996,3700.1," (adjusted for inflation, 2023 dollars)",$3.7B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1997,2890.8," (adjusted for inflation, 2023 dollars)",$2.9B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1998,2654.3," (adjusted for inflation, 2023 dollars)",$2.7B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1999,1941.6," (adjusted for inflation, 2023 dollars)",$1.9B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),2000,1107.7," (adjusted for inflation, 2023 dollars)",$1.1B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),2001,625.2," (adjusted for inflation, 2023 dollars)",,$625.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),2002,355.3," (adjusted for inflation, 2023 dollars)",,$355.3M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),2003,179," (adjusted for inflation, 2023 dollars)",,$179.0M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),2004,38.2," (adjusted for inflation, 2023 dollars)",,$38.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),2005,20.4," (adjusted for inflation, 2023 dollars)",,$20.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),2006,5.6," (adjusted for inflation, 2023 dollars)",,$5.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),2007,4.4," (adjusted for inflation, 2023 dollars)",,$4.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),2008,1.3," (adjusted for inflation, 2023 dollars)",,$1.3M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette Single,Value (Adjusted),1987,38.4," (adjusted for inflation, 2023 dollars)",,$38.4M,$819.6B,,$819604.4B,0
